,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
3215,4728731024069150848,-53.93701171875,272.37969970703125,44.361026763916016,-55.062782287597656,-0.7040166258811951,0.6805168986320496,0.057477161288261414,0.33610573410987854,-5.076022624969482,1.3005070686340332,4.125736236572266,1.4363129138946533,0.06682255119085312,,,20.419145584106445,20.62051773071289,19.677644729614258
3218,4728733983302438912,-53.95417785644531,272.38201904296875,44.33590316772461,-55.05332565307617,-0.11822246760129929,1.0939913988113403,-0.08996334671974182,0.08301761001348495,18.913537979125977,2.148564338684082,9.261428833007812,2.677456855773926,-0.019745202735066414,,,20.772367477416992,21.104028701782227,19.55652618408203
3219,4728731161508255232,-53.93694305419922,272.3225402832031,44.397117614746094,-55.036224365234375,-0.08376342058181763,0.5631329417228699,0.16026943922042847,0.22329410910606384,0.8032170534133911,1.2298883199691772,-1.7905484437942505,1.3712148666381836,0.08146951347589493,,,20.32671356201172,20.291872024536133,19.68691635131836
3221,4728736830864949376,-53.915077209472656,272.2775573730469,44.4555549621582,-55.02864456176758,-0.5050181746482849,0.8220487833023071,-0.06130296736955643,0.19179627299308777,2.5049352645874023,1.72499680519104,9.592302322387695,2.0283827781677246,0.1505274921655655,,,20.69782066345215,20.675586700439453,19.572614669799805
3230,4728736521627311104,-53.88469696044922,272.198974609375,44.546810150146484,-55.01048278808594,0.31766846776008606,0.337878942489624,-0.16437920928001404,0.30063262581825256,-0.29658612608909607,0.4973018169403076,1.0905438661575317,0.665920078754425,0.18666455149650574,,,19.591196060180664,20.269207000732422,18.69443130493164
3234,4728736487267575936,-53.88014221191406,272.1736145019531,44.56897735595703,-55.00139617919922,0.1335853785276413,0.3184715211391449,-0.18012484908103943,0.21653348207473755,-3.259559392929077,0.46666207909584045,3.144108295440674,0.6756007075309753,0.2678743600845337,,,19.457502365112305,19.73041534423828,19.00513458251953
3235,4728736693426013184,-53.882266998291016,272.1415710449219,44.586063385009766,-54.98511505126953,0.3289679288864136,0.6415718197822571,-0.2509597837924957,0.2878781259059906,-8.151646614074707,0.9378960728645325,2.665252685546875,1.3053146600723267,0.0707528367638588,,,20.452938079833984,20.659753799438477,19.76053810119629
3236,4728736865224691840,-53.9041633605957,272.2462158203125,44.490291595458984,-55.020687103271484,-0.4213043749332428,1.2502474784851074,0.1471155732870102,0.388749897480011,1.564877986907959,3.791290044784546,9.779339790344238,3.6988205909729004,0.45892930030822754,,,20.810420989990234,21.240001678466797,19.886016845703125
3238,4728736899584434688,-53.89994812011719,272.2142639160156,44.51615524291992,-55.008331298828125,-1.0430963039398193,1.206730604171753,-0.17267177999019623,0.3798193633556366,1.1586923599243164,1.8561573028564453,-3.869837522506714,2.1246564388275146,0.0724252313375473,,,19.883159637451172,19.550853729248047,18.33145523071289
3239,4728737350556717952,-53.90904998779297,272.1983642578125,44.51351547241211,-54.99536895751953,-3.014899969100952,1.268990159034729,-0.3378739655017853,0.1210983395576477,2.200216293334961,2.5835072994232178,6.692522048950195,3.1651899814605713,-0.5401794910430908,,,20.816173553466797,20.908151626586914,19.538349151611328
3241,4728737037023485568,-53.93368911743164,272.2501525878906,44.44704818725586,-55.00449752807617,-0.09547330439090729,0.473830908536911,-0.05972781404852867,0.32465213537216187,2.6673500537872314,0.8060309290885925,8.526236534118652,1.0353336334228516,0.3611193597316742,,,20.12089729309082,20.934598922729492,19.17051124572754
3242,4728737311901299456,-53.89579391479492,272.1824035644531,44.541839599609375,-54.995975494384766,0.4817878305912018,0.6718338131904602,-0.2867066264152527,0.021481424570083618,-4.773396015167236,1.2472270727157593,-0.8955169320106506,1.7080357074737549,-0.3415287137031555,,,19.962093353271484,,
3244,4728738170894775552,-53.88850784301758,272.114990234375,44.59402084350586,-54.968875885009766,-0.0500534288585186,0.6120585799217224,-0.17480213940143585,0.38263770937919617,-1.55195951461792,0.938346266746521,5.690239429473877,1.35173499584198,0.04274352267384529,,,20.219215393066406,20.484651565551758,19.68319320678711
3247,4728737449340271872,-53.9045295715332,272.1231994628906,44.56674575805664,-54.962974548339844,-0.07231077551841736,0.40357646346092224,-0.22486592829227448,0.2957491874694824,3.5410561561584473,0.5795680284500122,1.9549027681350708,0.7806084156036377,0.23087310791015625,,,19.755409240722656,20.108564376831055,19.1358585357666
3487,4728726699038721536,-53.82167053222656,272.0011901855469,44.75748825073242,-54.95597839355469,-0.030495570972561836,0.3331725597381592,-0.2572752833366394,0.4646373987197876,0.05626299977302551,0.43578463792800903,4.070932388305664,0.5448927879333496,0.15553559362888336,,,19.319732666015625,19.603174209594727,18.93211555480957
3513,4728750128084390272,-53.8046760559082,271.9004821777344,44.8435173034668,-54.918819427490234,0.1932527720928192,0.9470176100730896,-0.050756651908159256,0.2136508971452713,2.76157546043396,1.1712931394577026,-0.4015633165836334,1.323716402053833,0.0908786728978157,,,20.446847915649414,20.979522705078125,19.468164443969727
3516,4728737999096727808,-53.851619720458984,272.05908203125,44.67994689941406,-54.96505355834961,0.24172864854335785,0.4153900444507599,-0.21400919556617737,0.3588981330394745,-0.1676313579082489,0.6135962605476379,7.40926456451416,0.8160743117332458,0.19733600318431854,,,19.87711524963379,20.161252975463867,19.354997634887695
3519,4728738067815563648,-53.864559173583984,272.0525817871094,44.666072845458984,-54.95415496826172,0.04888586699962616,0.5887579321861267,-0.03094533085823059,0.40794333815574646,-0.8376436829566956,0.9655638933181763,4.51851749420166,1.331200122833252,0.3324005603790283,,,20.19647216796875,20.442026138305664,19.655508041381836
3520,4728726630319244544,-53.83311462402344,272.0447082519531,44.71455001831055,-54.969505310058594,0.46439898014068604,0.502126157283783,-0.244278684258461,0.2667903006076813,6.791535377502441,0.7767426371574402,5.779569149017334,0.9888693690299988,0.21054300665855408,,,19.959121704101562,20.67058563232422,18.989761352539062
3522,4728726660383067648,-53.82891082763672,272.0226745605469,44.73407745361328,-54.961708068847656,1.4362974166870117,1.3410842418670654,-0.3897884488105774,0.3797740042209625,0.03747525066137314,2.366983652114868,-0.9013795256614685,2.354036808013916,-0.3695254623889923,,,20.814889907836914,21.039262771606445,19.623516082763672
3524,4728726763462290176,-53.830257415771484,271.9889831542969,44.753143310546875,-54.9450569152832,-0.9160993695259094,0.8323308229446411,-0.04159080237150192,0.3730878233909607,-1.2614182233810425,1.4856047630310059,2.0574817657470703,2.333261251449585,-0.1641780138015747,,,20.528656005859375,20.539480209350586,19.900592803955078
