,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
9,4740606746081395584,-54.14664077758789,273.98724365234375,43.02897262573242,-55.66426467895508,-1.1570143699645996,0.8100001811981201,-0.1562163084745407,0.2647864520549774,-13.726363182067871,1.5624239444732666,6.507872581481934,1.4447261095046997,-0.1289799064397812,,,20.615283966064453,21.414234161376953,19.329299926757812
16,4740608502723981696,-54.16889572143555,273.96356201171875,43.01472473144531,-55.63930892944336,-0.28671926259994507,0.7842960953712463,-0.2781324088573456,0.11654804646968842,-1.2739012241363525,1.6532613039016724,10.507417678833008,1.6710134744644165,0.029263295233249664,,,20.618534088134766,21.124189376831055,19.596084594726562
18,4740605341628424576,-54.12472915649414,273.92266845703125,43.10191345214844,-55.649478912353516,-0.03243188187479973,0.5213721990585327,-0.23751206696033478,0.15709684789180756,-3.297952890396118,1.108283519744873,1.7326689958572388,0.988744854927063,0.01599027030169964,,,20.18085479736328,20.305213928222656,19.54485511779785
19,4740605719585561216,-54.101234436035156,273.872802734375,43.16710662841797,-55.64223098754883,-0.012553919106721878,0.04574214667081833,-0.3866731822490692,0.13801512122154236,-0.06463687866926193,0.08037148416042328,-0.0649905800819397,0.07055206596851349,0.15190738439559937,,,16.189809799194336,16.352737426757812,15.764899253845215
20,4740605513426711552,-54.101097106933594,273.8677062988281,43.17070388793945,-55.6400260925293,-0.6653507351875305,0.8069157600402832,-0.4014485478401184,0.30125707387924194,-1.1166597604751587,1.194900631904602,4.149903297424316,1.5252294540405273,-0.26454395055770874,,,20.593158721923828,20.642383575439453,20.09414291381836
21,4740605749648989440,-54.1148681640625,273.88690185546875,43.13919448852539,-55.63978958129883,-0.21642537415027618,0.36706677079200745,-0.2546789050102234,0.307243287563324,0.42500460147857666,0.5937640070915222,0.021655645221471786,0.6010746955871582,0.0794045478105545,,,19.73201560974121,20.313552856445312,18.828554153442383
26,4740605582145375744,-54.0882568359375,273.82861328125,43.21421813964844,-55.630706787109375,0.834653913974762,0.7484340667724609,-0.3217838406562805,0.3337341547012329,1.7590526342391968,1.5774171352386475,8.002918243408203,1.1483515501022339,-0.1074630618095398,,,20.46929168701172,20.672706604003906,19.481689453125
29,4740611526381491072,-54.091209411621094,273.8036804199219,43.22684097290039,-55.61758804321289,0.5231582522392273,0.918516218662262,-0.409594863653183,0.5402551889419556,13.573797225952148,1.8529185056686401,5.78778600692749,1.549688696861267,-0.11282258480787277,,,20.642824172973633,21.472827911376953,19.38867950439453
30,4740608330925260160,-54.12957763671875,273.9094543457031,43.10418701171875,-55.64042663574219,-2.742820978164673,1.6017849445343018,0.16987036168575287,0.293797105550766,-0.4425548315048218,4.07452392578125,2.3974790573120117,2.806501865386963,-0.06562859565019608,,,20.95470428466797,,
33,4740608395348848512,-54.15336227416992,273.9027099609375,43.07644271850586,-55.62209701538086,0.04279211163520813,0.07591493427753448,-0.3593093752861023,0.3592205047607422,-0.9447643160820007,0.11229469627141953,2.008331537246704,0.11873506754636765,0.01927739381790161,,,16.853071212768555,17.272010803222656,16.28200912475586
36,4740608601507281792,-54.161399841308594,273.89056396484375,43.07367706298828,-55.611473083496094,0.22919690608978271,0.14280018210411072,-0.35044461488723755,0.27679285407066345,-2.8383421897888184,0.23578880727291107,4.270521640777588,0.22485366463661194,-0.028220897540450096,,,18.287763595581055,18.607431411743164,17.75592803955078
38,4740605925743526656,-54.12299346923828,273.8165588378906,43.17510223388672,-55.60297775268555,0.2887097895145416,0.9225812554359436,-0.32963791489601135,0.3275724947452545,5.458537578582764,1.9553595781326294,7.944630146026611,1.4398560523986816,-0.11543392390012741,,,20.75553321838379,21.13528823852539,19.550678253173828
39,4740605921447693568,-54.12467956542969,273.8118591308594,43.17595291137695,-55.59978485107422,-0.9781946539878845,0.9394209384918213,-0.35589104890823364,0.5416246056556702,-5.107420921325684,1.8481706380844116,3.152479648590088,1.4953293800354004,-0.2380342036485672,,,20.665525436401367,21.039505004882812,19.20391082763672
47,4728645506976899328,-53.272335052490234,272.7855224609375,45.027095794677734,-55.659812927246094,-0.11121027916669846,0.6204931139945984,-0.08491333574056625,0.14110761880874634,-4.029541015625,1.3000261783599854,2.3175275325775146,1.0699310302734375,-0.027607513591647148,,,20.502342224121094,20.859128952026367,19.66411781311035
53,4728643067434902016,-53.26515579223633,272.722900390625,45.077632904052734,-55.634498596191406,-1.923551082611084,1.319286823272705,0.1550772488117218,-0.018563469871878624,6.966690540313721,2.654176712036133,20.49976348876953,2.175191640853882,-0.3255789577960968,,,20.983736038208008,21.155759811401367,19.649608612060547
