,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
8,4732168337935872512,-48.48371505737305,267.9526672363281,55.081207275390625,-55.565887451171875,-0.1098000556230545,0.19355253875255585,0.35729774832725525,0.2347106784582138,0.6622381806373596,0.5475197434425354,3.4781441688537598,0.38690391182899475,0.1269347220659256,,,18.57695770263672,18.947280883789062,18.098217010498047
12,4732167517598611200,-48.57851791381836,268.06744384765625,54.871803283691406,-55.59333038330078,0.39767441153526306,0.3959406912326813,0.440304696559906,0.38945576548576355,2.967559337615967,1.1968148946762085,6.473633289337158,0.7973713874816895,0.43338075280189514,,,19.587337493896484,19.79778289794922,19.031944274902344
16,4732167066625544704,-48.51333236694336,268.0040588378906,55.0079460144043,-55.58380889892578,0.0410861037671566,0.5305838584899902,0.44842803478240967,0.4094710648059845,2.8660590648651123,1.4976472854614258,0.5509738326072693,1.0037356615066528,0.38044366240501404,,,20.000545501708984,19.704418182373047,19.44587516784668
17,4732166997906069376,-48.53451156616211,268.01544189453125,54.9683837890625,-55.58143997192383,0.1044234111905098,0.436962366104126,0.4705114960670471,0.42796966433525085,-11.62409496307373,1.359694480895996,3.3053665161132812,0.8383119106292725,0.43690425157546997,,,19.620935440063477,19.98842430114746,18.7567138671875
19,4732168376591228672,-48.50387191772461,267.9572448730469,55.0467414855957,-55.55992126464844,0.6582714319229126,0.9919134378433228,0.48824742436408997,0.43105176091194153,-10.637239456176758,2.5430805683135986,6.8922953605651855,1.681642770767212,0.29881247878074646,,,20.50071144104004,21.117584228515625,19.198196411132812
20,4732168406655265920,-48.508750915527344,267.9400634765625,55.047645568847656,-55.547550201416016,-0.5172234177589417,0.7189258933067322,0.5329349040985107,0.5040670037269592,-4.679231643676758,2.0281176567077637,-0.2915414869785309,1.3161004781723022,0.4280812740325928,,,20.274686813354492,20.5159854888916,19.36822509765625
21,4732168410950621568,-48.509098052978516,267.93670654296875,55.04878616333008,-55.54539489746094,0.36274588108062744,1.02310049533844,0.461896687746048,0.48004260659217834,-4.562798023223877,2.563908338546753,7.402034759521484,1.5733953714370728,0.3193003833293915,,,20.643848419189453,21.216453552246094,19.424266815185547
26,4732168612813793920,-48.520572662353516,267.9333190917969,55.032196044921875,-55.53842544555664,0.21436807513237,0.14350096881389618,0.34689849615097046,0.3725033700466156,-15.653376579284668,0.35007691383361816,16.375417709350586,0.24608924984931946,0.06825217604637146,,,17.996139526367188,18.24704360961914,17.393802642822266
31,4732167655037533696,-48.580162048339844,268.01763916015625,54.894527435302734,-55.56293869018555,0.5152614116668701,0.4529920518398285,0.40960949659347534,0.41953200101852417,2.6224892139434814,1.128855586051941,5.320642948150635,0.6967019438743591,0.2581571936607361,,,19.69345474243164,20.451745986938477,18.540790557861328
36,4732168067353595136,-48.57392501831055,267.97796630859375,54.924591064453125,-55.54199981689453,0.08339403569698334,0.8271883130073547,0.391334593296051,0.4068586826324463,4.692399978637695,2.3307034969329834,2.9454312324523926,1.5753964185714722,0.40162134170532227,,,20.50315284729004,20.824831008911133,19.231708526611328
38,4732168063057983232,-48.58185958862305,267.971435546875,54.9152717590332,-55.53466033935547,0.41659116744995117,0.6194493770599365,0.32566526532173157,0.4049168825149536,10.47189712524414,1.6605582237243652,5.175240516662598,0.9947071671485901,0.13278672099113464,,,20.118642807006836,20.65900993347168,18.78516960144043
40,4732168200496944768,-48.576438903808594,267.9397888183594,54.93990707397461,-55.51815414428711,-0.46743515133857727,0.46845540404319763,0.37419405579566956,0.44773009419441223,-2.022822618484497,1.357650637626648,7.777721881866455,0.8620104789733887,0.39744654297828674,,,19.873315811157227,20.340238571166992,18.86188507080078
42,4732165284214966912,-48.70866775512695,268.1658630371094,54.61432647705078,-55.59488296508789,-0.5467852354049683,1.7822141647338867,0.09543944150209427,-0.0587795190513134,-3.3295400142669678,3.556804656982422,13.042943954467773,4.668740272521973,0.22506847977638245,,,20.918264389038086,21.68484878540039,19.564462661743164
44,4732165382998372992,-48.715484619140625,268.1520080566406,54.61060333251953,-55.583675384521484,-0.22012750804424286,1.0745117664337158,0.08028372377157211,0.43389183282852173,3.263833522796631,3.3332231044769287,9.3917875289917,1.9646366834640503,-0.3178122341632843,,,20.79416275024414,21.98585319519043,19.7899227142334
45,4732175592137109504,-48.73820114135742,268.1891784667969,54.555419921875,-55.5956916809082,0.03624289110302925,0.03053172118961811,-0.22546112537384033,0.1552606225013733,-0.7597289085388184,0.06666267663240433,3.183542251586914,0.051641371101140976,-0.032964807003736496,,,15.772149085998535,16.155805587768555,15.21597671508789
46,4732175420338421888,-48.790531158447266,268.2251892089844,54.453773498535156,-55.593875885009766,0.4450761377811432,0.905777096748352,0.11754404008388519,0.4308510720729828,5.479363441467285,2.0884671211242676,4.1483683586120605,1.659213900566101,0.07717984914779663,,,20.670730590820312,20.9982967376709,19.699472427368164
51,4732164730163335552,-48.64568328857422,268.1204528808594,54.73777770996094,-55.59556579589844,-0.007010470610111952,0.22058150172233582,0.27414974570274353,0.334088534116745,-0.10351786762475967,0.6253125667572021,0.5882293581962585,0.41326233744621277,0.14634956419467926,,,19.016891479492188,19.15386962890625,18.614341735839844
54,4732164695803604992,-48.62250518798828,268.07403564453125,54.79838943481445,-55.578086853027344,0.31367769837379456,0.5183655619621277,0.28528153896331787,0.33544209599494934,17.86635398864746,1.4394789934158325,8.596952438354492,0.9007012844085693,0.1098112165927887,,,20.1005859375,20.678955078125,19.089052200317383
59,4732165211199678208,-48.68882369995117,268.1412048339844,54.65852737426758,-55.58897399902344,-0.10477849096059799,0.3706061542034149,0.121707022190094,0.3152104616165161,-2.0224785804748535,0.9887300133705139,4.055047035217285,0.6774912476539612,0.1317623406648636,,,19.830677032470703,20.424787521362305,18.759679794311523
62,4732165623516551680,-48.686824798583984,268.09368896484375,54.68603515625,-55.56165313720703,-0.12258481979370117,0.18501725792884827,0.14798036217689514,0.32863932847976685,-13.190572738647461,0.46433165669441223,11.921711921691895,0.3449518382549286,0.10053148120641708,,,18.832639694213867,19.34161949157715,18.121139526367188
65,4732167719460589440,-48.593345642089844,268.01947021484375,54.87259292602539,-55.558311462402344,-0.8644863367080688,0.7374088764190674,0.41004109382629395,0.4067216217517853,-19.955820083618164,1.9460054636001587,11.198624610900879,1.1309773921966553,0.191619411110878,,,20.46297264099121,21.256521224975586,19.317228317260742
