,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
2808,4836375720689269632,-51.11722183227539,251.1153564453125,56.586177825927734,-44.45207595825195,0.3737809658050537,0.25468990206718445,-0.1397107094526291,0.2226230353116989,-5.959258556365967,0.6000410318374634,3.362302303314209,0.38096919655799866,-0.10812507569789886,,,19.090538024902344,19.403011322021484,18.584577560424805
2809,4836374449378946944,-51.15277099609375,251.14901733398438,56.531471252441406,-44.46567916870117,1.8489158153533936,0.45092689990997314,0.08700989186763763,0.22519360482692719,3.351945400238037,1.2097588777542114,9.475869178771973,0.6538789868354797,-0.07019434869289398,,,19.952272415161133,20.480674743652344,19.130084991455078
2810,4836375239652933248,-51.153263092041016,251.1245880126953,56.53508377075195,-44.45056915283203,1.690258502960205,0.3302573561668396,0.13739414513111115,0.23110662400722504,-16.43181610107422,0.8330586552619934,7.713698387145996,0.43593642115592957,-0.12719444930553436,,,19.581850051879883,21.0771541595459,18.366601943969727
2812,4836376068583318656,-51.12281036376953,251.07888793945312,56.58488082885742,-44.428531646728516,0.45495614409446716,0.028287818655371666,-0.03467436507344246,0.0955292358994484,5.048593521118164,0.0669543668627739,0.1201685220003128,0.04646996036171913,-0.15168587863445282,,,15.563272476196289,15.816154479980469,15.143401145935059
2813,4836376029926921856,-51.126678466796875,251.07620239257812,56.58003616333008,-44.426116943359375,0.7421853542327881,0.45402756333351135,0.14691631495952606,0.18575556576251984,-1.6747682094573975,1.140995740890503,9.230241775512695,0.6921201348304749,-0.2464108020067215,,,18.050758361816406,18.36358070373535,17.43403434753418
2814,4836375999863843328,-51.144752502441406,251.102294921875,56.5506706237793,-44.43856430053711,1.3365737199783325,0.05668758600950241,0.03229454904794693,0.048098862171173096,-0.9770485758781433,0.1522374451160431,12.028023719787598,0.09321995824575424,-0.07375282794237137,,,16.772306442260742,17.581602096557617,15.89128589630127
2964,4836335210557742080,-51.04584884643555,251.0435028076172,56.6966667175293,-44.42195510864258,0.4515747129917145,0.12239202857017517,-0.06012102589011192,0.24902190268039703,3.7808468341827393,0.2697151005268097,1.411798357963562,0.17574076354503632,-0.11862590163946152,,,18.16006088256836,18.712867736816406,17.468334197998047
2965,4836335043054282880,-51.03881072998047,251.02952575683594,56.7087516784668,-44.41471481323242,1.4194695949554443,0.5592831373214722,-0.08209657669067383,0.15641456842422485,13.638227462768555,1.2549707889556885,3.77730393409729,0.8362652659416199,-0.019196536391973495,,,20.301525115966797,21.04035186767578,19.203411102294922
2966,4836335038759053056,-51.03252410888672,251.02406311035156,56.71832275390625,-44.4125862121582,0.49272146821022034,0.11421158164739609,-0.038457803428173065,0.25847914814949036,2.964595317840576,0.23939132690429688,7.822027206420898,0.1554737240076065,-0.11910302937030792,,,17.903348922729492,18.40753173828125,17.197906494140625
2967,4836335043055699712,-51.033470153808594,251.01858520507812,56.71797180175781,-44.409019470214844,1.5455255508422852,0.16785089671611786,-0.017460647970438004,0.18588899075984955,6.367556095123291,0.3786592185497284,-3.9922609329223633,0.2537613809108734,-0.09267719835042953,,,18.481544494628906,19.700830459594727,17.35720443725586
2981,4836335146134914560,-51.03415298461914,251.0019073486328,56.719913482666016,-44.39860153198242,0.7736625671386719,0.048739440739154816,-0.05797252431511879,0.15086296200752258,16.336589813232422,0.11300355195999146,16.54071807861328,0.07613900303840637,-0.05949389562010765,,,16.639570236206055,17.292678833007812,15.860793113708496
2982,4836335180494652416,-51.02138900756836,250.98477172851562,56.74037551879883,-44.39052963256836,0.580058217048645,0.021470971405506134,-0.05424240231513977,0.16193901002407074,-0.02607783116400242,0.05025815591216087,7.824681282043457,0.031409427523612976,-0.06785522401332855,,,14.919583320617676,15.27620792388916,14.406428337097168
2983,4836334866960369152,-50.98915100097656,250.9620819091797,56.788516998291016,-44.3828125,0.7041897177696228,0.2611449062824249,0.024035966023802757,0.11300145834684372,2.93176531791687,0.6030822992324829,4.704617023468018,0.4155060648918152,-0.012377819046378136,,,19.369495391845703,19.83302116394043,18.546768188476562
2985,4836334768177790336,-50.99647521972656,250.96121215820312,56.77861404418945,-44.38084411621094,1.946260929107666,0.08273511379957199,-0.048146575689315796,0.1255938559770584,-9.449094772338867,0.1882098913192749,2.911285400390625,0.12368614226579666,-0.1219039335846901,,,17.598995208740234,18.589303970336914,16.583118438720703
