,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
0,4743303813744854656,-58.431175231933594,276.8789978027344,35.778568267822266,-53.81245422363281,0.2451210767030716,0.04605402424931526,-0.3205547332763672,0.01404962595552206,-5.763675689697266,0.06799815595149994,0.021196585148572922,0.07479199022054672,0.09855359047651291,,,16.39491081237793,16.70591926574707,15.931034088134766
1,4743303818041047168,-58.43486022949219,276.8885192871094,35.76809310913086,-53.8129997253418,1.196836233139038,0.02832484245300293,-0.28365251421928406,0.01557989977300167,-2.4537439346313477,0.04339800029993057,10.409323692321777,0.04727504774928093,0.017414696514606476,,,15.472094535827637,15.96689224243164,14.833763122558594
2,4743304264717647232,-58.39336395263672,276.80828857421875,35.86799240112305,-53.81621170043945,0.6185996532440186,0.042425863444805145,-0.29532793164253235,0.07101870328187943,5.65396785736084,0.06458476185798645,2.900827169418335,0.07428315281867981,0.1169399619102478,,,16.30449867248535,16.684131622314453,15.783332824707031
4,4743304333437139072,-58.38133239746094,276.7592468261719,35.914058685302734,-53.808135986328125,1.4600971937179565,0.08165249228477478,-0.2599707841873169,0.09034886211156845,18.478132247924805,0.13302256166934967,9.406850814819336,0.14404304325580597,0.19820766150951385,,,17.16297149658203,18.32769012451172,16.08220863342285
5,4743292956067371136,-58.36649703979492,276.72454833984375,35.95377731323242,-53.80710983276367,0.2814583480358124,0.17887170612812042,-0.13095317780971527,0.009135358035564423,1.9877842664718628,0.3150729537010193,8.926374435424805,0.3727157711982727,0.21857182681560516,,,18.68792152404785,19.39799690246582,17.85854721069336
8,4743304470876077184,-58.39970016479492,276.8139953613281,35.85707473754883,-53.81346130371094,0.6427766680717468,0.02255077287554741,-0.35645368695259094,0.06505032628774643,6.675085067749023,0.03383111208677292,7.572133541107178,0.03934341296553612,0.09826374053955078,,,14.833539009094238,15.059103012084961,14.44817066192627
10,4743303779385116800,-58.42664337158203,276.8626708984375,35.79449462890625,-53.81018829345703,1.5317585468292236,0.2933645248413086,-0.24284228682518005,0.06353195011615753,2.875441789627075,0.45117443799972534,13.771442413330078,0.49232804775238037,0.06745430827140808,,,19.38190460205078,20.801177978515625,18.12308692932129
11,4743305261150059008,-58.42157745361328,276.8332824707031,35.81968688964844,-53.80379104614258,0.9013886451721191,0.04311811178922653,-0.27256596088409424,-0.02206926979124546,-23.293140411376953,0.06645052880048752,-7.7552876472473145,0.08020887523889542,0.025534484535455704,,,16.32624053955078,16.798355102539062,15.71576976776123
13,4743305261150058880,-58.427528381347656,276.8213806152344,35.8209114074707,-53.795204162597656,1.09084153175354,0.018978646025061607,-0.3275310695171356,0.004924926441162825,-3.930344581604004,0.028062693774700165,-8.54138469696045,0.03182462230324745,0.08566334843635559,,,14.432376861572266,14.7991361618042,13.90567684173584
15,4743304402155611520,-58.394283294677734,276.7620849609375,35.89760971069336,-53.799442291259766,0.8209280371665955,0.6917955279350281,-0.04312655329704285,-0.16092300415039062,3.6588973999023438,1.5722134113311768,1.5859168767929077,1.3909521102905273,0.03708039969205856,,,20.535205841064453,21.40042495727539,19.433216094970703
