,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
0,4740610426868493824,-54.03590393066406,273.8345031738281,43.28147506713867,-55.666934967041016,1.2959818840026855,0.5783857107162476,-0.21492122113704681,0.3190743923187256,-4.533108711242676,1.3417266607284546,4.185650825500488,0.9919804334640503,-0.1627570390701294,,,20.424297332763672,21.341289520263672,19.211196899414062
1,4740604757512887680,-54.04728698730469,273.85308837890625,43.25357437133789,-55.66801071166992,0.8062763214111328,0.07617533206939697,-0.16672377288341522,0.2806764543056488,2.5177011489868164,0.13022159039974213,14.705227851867676,0.13087159395217896,0.1066204234957695,,,17.31605339050293,17.852169036865234,16.630447387695312
2,4740610426869718912,-54.0349006652832,273.8135070800781,43.29684066772461,-55.658119201660156,2.4611518383026123,0.12399078905582428,-0.23137234151363373,0.3200455605983734,17.252071380615234,0.20087900757789612,4.461128234863281,0.21302877366542816,0.16752584278583527,,,18.213878631591797,19.52692413330078,17.028972625732422
3,4740610633026859904,-54.04789733886719,273.8192443847656,43.275325775146484,-55.65237808227539,3.1171722412109375,0.38148611783981323,-0.12561097741127014,0.38367217779159546,2.677309989929199,0.7679805159568787,9.959701538085938,0.6791875958442688,-0.038993652909994125,,,19.780614852905273,21.110523223876953,18.417888641357422
4,4740610426868429440,-54.047767639160156,273.81622314453125,43.277523040771484,-55.65109634399414,3.066556215286255,0.20652376115322113,-0.2507530450820923,0.3849422037601471,3.2304556369781494,0.4027477204799652,8.739882469177246,0.41414347290992737,-0.4625054895877838,,,17.689226150512695,18.27587127685547,15.871156692504883
5,4740610633026859520,-54.04779052734375,273.8158874511719,43.27772521972656,-55.65092468261719,3.944004535675049,0.2050231248140335,-0.10126084834337234,0.3065938353538513,2.750173568725586,0.42590251564979553,10.722628593444824,0.35448533296585083,-0.31502750515937805,,,17.597614288330078,18.19397735595703,15.815180778503418
6,4740604718856831616,-54.05949401855469,273.8580017089844,43.233699798583984,-55.662384033203125,0.7411828637123108,0.1923302859067917,-0.21353991329669952,0.3128577172756195,4.994276523590088,0.3038574755191803,8.996078491210938,0.316686749458313,0.1226784884929657,,,18.529155731201172,19.11850357055664,17.804533004760742
7,4740604753216570496,-54.05353546142578,273.8456115722656,43.250064849853516,-55.6606330871582,4.057536602020264,0.4171468913555145,-0.11058077961206436,0.31773701310157776,26.442190170288086,0.6887657642364502,19.64812469482422,0.7043893337249756,0.08821295946836472,,,19.803789138793945,21.05630111694336,18.50630760192871
8,4740606956536127360,-54.15222930908203,273.99615478515625,43.015445709228516,-55.664634704589844,0.851349413394928,0.02828553505241871,-0.34996265172958374,0.16896237432956696,13.585232734680176,0.04882235825061798,13.472485542297363,0.04481625184416771,-0.07986855506896973,,,15.436187744140625,15.793858528137207,14.90677547454834
10,4740608159126970368,-54.137638092041016,273.9700622558594,43.05267333984375,-55.662391662597656,1.462571620941162,0.027772219851613045,-0.3866537809371948,0.19930745661258698,-8.947310447692871,0.044966891407966614,6.645735263824463,0.04207468777894974,0.06298185884952545,,,15.188924789428711,15.665230751037598,14.55700969696045
