,id,b,l,ra,dec,parallax,parallax_err,parallax_pmdec_corr,parallax_pmra_corr,pmdec,pmdec_err,pmra,pmra_err,pmra_pmdec_corr,vrad,vrad_err,Gmag,BPmag,RPmag
3793,4730958875145331840,-49.79424285888672,267.78857421875,53.10429000854492,-54.889137268066406,1.6668014526367188,0.1626816838979721,0.12592533230781555,0.4109010100364685,-10.665302276611328,0.39674463868141174,21.44263458251953,0.3178320825099945,0.052827540785074234,,,18.540454864501953,19.682239532470703,17.44700050354004
3808,4730959188679493248,-49.8322639465332,267.7781677246094,53.05074691772461,-54.8658561706543,0.8214761018753052,0.17892248928546906,0.16381120681762695,0.4485549032688141,-6.013994216918945,0.4170864522457123,3.685565233230591,0.34474918246269226,0.07566816359758377,,,18.5195369720459,19.233945846557617,17.711698532104492
3813,4730959944593737984,-49.84848403930664,267.77569580078125,53.02691650390625,-54.857051849365234,1.3276307582855225,0.048063281923532486,-0.08404577523469925,0.311972975730896,-4.958958625793457,0.09877382218837738,-8.161245346069336,0.09214553982019424,-0.0604940727353096,,,16.455448150634766,17.217315673828125,15.606011390686035
3814,4730959944593738112,-49.854400634765625,267.7723083496094,53.01949691772461,-54.85240936279297,0.5123024582862854,0.05088907852768898,-0.07429180294275284,0.27215543389320374,-5.029878616333008,0.10736161470413208,4.535630226135254,0.10029726475477219,-0.055566612631082535,,,16.53539276123047,16.894092559814453,16.023422241210938
3815,4730959944593738368,-49.858028411865234,267.770263671875,53.01491928100586,-54.84960174560547,0.359361469745636,0.0874217078089714,-0.06904336810112,0.3400288224220276,-0.5406115055084229,0.19053179025650024,6.967567443847656,0.17044231295585632,-0.06007854640483856,,,17.544898986816406,18.010053634643555,16.925565719604492
3852,4730960215175164800,-49.876922607421875,267.7695617675781,52.98606872558594,-54.8405876159668,0.874494194984436,0.4123605191707611,-0.17422066628932953,0.3474412262439728,-0.027340341359376907,1.0313432216644287,12.979637145996094,0.7782317996025085,-0.10175643861293793,,,19.948871612548828,20.628339767456055,18.846494674682617
3871,4731005986643127168,-49.939151763916016,267.7635498046875,52.893028259277344,-54.80873107910156,2.490170478820801,0.01881515607237816,-0.33464083075523376,0.09970929473638535,13.020240783691406,0.037691425532102585,15.868046760559082,0.031028907746076584,-0.04408758506178856,,,14.194714546203613,14.742602348327637,13.519753456115723
4008,4731006051066183808,-49.96023941040039,267.7546081542969,52.86505889892578,-54.793968200683594,1.3869354724884033,0.44814571738243103,-0.18786777555942535,0.3765694200992584,-2.7907767295837402,0.867080569267273,-6.5528035163879395,0.8283060789108276,0.08083079755306244,,,19.888662338256836,21.08324432373047,18.668447494506836
7403,4732271696325299840,-48.92617416381836,267.15362548828125,54.77621078491211,-54.899871826171875,0.7261395454406738,0.07880107313394547,0.0370047502219677,0.09660270065069199,3.485891342163086,0.17553704977035522,9.383208274841309,0.1867886185646057,-0.010766900144517422,,,17.554859161376953,18.133995056152344,16.868024826049805
7404,4732271657669714432,-48.935970306396484,267.1686096191406,54.753501892089844,-54.90461349487305,0.5455100536346436,0.41826266050338745,0.12435440719127655,0.1566062569618225,4.1583251953125,0.948505163192749,7.52708101272583,0.9384675621986389,0.10561070591211319,,,19.954713821411133,20.55657958984375,18.996477127075195
